Model,Calibration_Method,Full_Name,ECE,Brier_Score,Log_Loss,Temperature_Value,MCE,Reliability,Resolution,HL_Statistic,HL_P_Value
SVM_RBF,Temperature,SVM_RBF_Temperature,0.05361081203712136,0.17063399378396618,0.5224340311127772,0.5393367241966678,0.3449004818548136,0.0,0.0,0.0,1.0
Random_Forest,Original,Random_Forest_Original,0.058397866209477706,0.16962250760809652,0.5098058090391572,,0.36880651530196906,0.0,0.0,0.0,1.0
Random_Forest,Temperature,Random_Forest_Temperature,0.06783755867439463,0.17001247438437528,0.5086711336413299,0.645431134956297,0.2720408804161143,0.0,0.0,0.0,1.0
SVM_RBF,Original,SVM_RBF_Original,0.06902314938081805,0.1704429999982338,0.5195898939204384,,0.2508372920671491,0.0,0.0,0.0,1.0
Random_Forest,Platt,Random_Forest_Platt,0.07228860544374849,0.17224120957732636,0.5144016691911305,,0.19654814693953204,0.0,0.0,0.0,1.0
SVM_RBF,Platt,SVM_RBF_Platt,0.07268253607443187,0.1707977660895648,0.5236826570684526,,0.28927033580031813,0.0,0.0,0.0,1.0
Logistic_Regression,Isotonic,Logistic_Regression_Isotonic,0.08742739972871186,0.1703295072254659,0.518094719914383,,0.29999999999999993,0.0,0.0,0.0,1.0
Logistic_Regression,Platt,Logistic_Regression_Platt,0.09184592965993406,0.1722281239484176,0.5198375024418489,,0.451216788002152,0.0,0.0,0.0,1.0
SVM_RBF,Isotonic,SVM_RBF_Isotonic,0.09294711551791467,0.18068526532377024,1.0625919656237135,,0.4285714285714286,0.0,0.0,0.0,1.0
Random_Forest,Isotonic,Random_Forest_Isotonic,0.09346060151547268,0.17332869447441887,0.6838388309657342,,0.3003237518403846,0.0,0.0,0.0,1.0
Logistic_Regression,Temperature,Logistic_Regression_Temperature,0.10466739214136186,0.17410982294293867,0.5245828338721706,1.054926659998204,0.2864296673574069,0.0,0.0,0.0,1.0
Logistic_Regression,Original,Logistic_Regression_Original,0.10876882712441033,0.17468090697011135,0.5275510353335159,,0.27314273767859454,0.0,0.0,0.0,1.0
